Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Insulin Load,Deep Sleep,Active Calories
2018-08-18,Breakfast,281.7,1.5,0.4,0.1,0,6,2.8,489,43.2,4,33.9,5.5,3.3,225.9,19.7,4.6,42.28,,
2018-08-18,Lunch,400,9.6,0.7,1,1,23,75,350,58,4,31,12,4,0,30,10,60.72,,
2018-08-18,Dinner,192.5,13.8,5.5,0,5.5,0,357.5,0,16.5,0,0,0,0,0,0,0,16.5,94,259
2018-08-18,Snacks,302.2,16.3,5.6,5.7,2.5,105.2,84.5,329,19.4,10,9.9,19.1,5.2,0,31.2,14.6,20.096, ,
2018-08-19,Breakfast,470,10.2,0.9,1,1,26,75,440,61,4,34,14,4,0,38,10,64.84,,
2018-08-19,Lunch,333.8,1.7,0.4,0.2,0.1,6,3.9,602.4,56.8,5.4,44.2,6.1,4.5,308.7,21,6.2,54.816,,
2018-08-19,Dinner,1728,108.8,18.6,52.4,24.4,626,6225.8,2301,111.8,15,21,49.2,103.6,237.8,23.2,37.4,124.352,47,0
2018-08-19,Snacks,420,19,8.5,2.5,0.3,20,200,60,55,5,26,7,0,0,8,14,53.92, ,
2018-08-20,Breakfast,322.2,11.5,5,0.7,1.9,111.2,84.5,389,15.4,0,15.9,17.1,5.2,0,31.2,2.6,24.976,,
2018-08-20,Lunch,850,35.6,16.7,2.5,0.3,43,400,150,108,5,55,13,0,0,16,22,110.28,,
2018-08-20,Dinner,194.1,3.2,0.5,2.6,0.3,0,215.9,366.5,35.3,7.6,22,5.2,3.6,116.9,9.8,8.3,30.612,69,93
2018-08-21,Breakfast,518.1,9.6,0.7,1,1,23,84,694.2,87.3,5.2,54.2,14,88.4,140.5,32,14,89.94,,
2018-08-21,Dinner,767.3,48.4,17.3,10.5,15.6,324.9,1506.7,1618.4,52.9,5.3,20,43.2,15,45.7,9.1,29,71.792,46,401
2018-08-21,Snacks,675,25.3,10.1,5,0.6,46.5,560,475,66.5,12,28.5,41,25,25,70,45,77.46, ,
2018-08-22,Breakfast,255,3.6,1.2,0,0,28,365,400,15,2,9,32,75,125,58,25,30.92,,
2018-08-22,Lunch,395,14.3,7.6,1,1,46.5,90,45,51.5,4,22.5,11,8,0,21,10,53.66,,
2018-08-22,Dinner,343.3,23.8,3.9,12.3,2.9,58,1131.2,350.9,17.8,3.1,12.2,15.2,42.2,61.3,6.2,6.8,23.212,75,0
2018-08-22,Snacks,455,19.3,8.6,2.5,0.3,21.5,200,105,56.5,5,27.5,8,0,0,12,14,55.98, ,
2018-08-23,Breakfast,596.7,14.9,7.7,1.1,1,48,97.8,399,97.2,8,56.9,13.5,61.3,325.9,28.7,14.6,96.76,,
2018-08-23,Lunch,93,0.5,0.1,0.3,0,0,156.5,725.7,21.7,6.4,10.8,2.1,757.8,22.3,7.5,3.8,16.476,,
